comparison,ranking_basis,rank,reference_value,compared_value,comparison_delta_abs,comparison_delta_pct,category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
v2_vs_full,pct,49,1527619.08,1239178.3,-288440.78,-18.881721482557026,scenario_component_damage,scientific_graph_inputs.state_damage_tables.damage_components_eur,storm_cmcc,rp10,,elec_bt_aerien,rain,damage_component_eur,eur,Elec BT aerien,1527619.08,1260431.5,1239178.3,-267187.5800000001,-17.490458419778317,-288440.78,-18.881721482557026,-21253.199999999953,-1.6861844534986594,
v2_vs_full,pct,50,4274329.98,3476038.83,-798291.1500000004,-18.67640434255851,scenario_component_damage,scientific_graph_inputs.state_damage_tables.damage_components_eur,storm_cmcc,rp100,,elec_bt_aerien,rain,damage_component_eur,eur,Elec BT aerien,4274329.98,3655023.81,3476038.83,-619306.1700000004,-14.4889648880127,-798291.1500000004,-18.67640434255851,-178984.97999999998,-4.896957976314797,
v2_vs_v1,abs,1,731495087.84,753043492.46,21548404.620000005,2.945803051614379,portfolio,portfolio_results,storm,all,,,,pml_100_eur,eur,,737600156.27,731495087.84,753043492.46,-6105068.429999948,-0.8276934838073944,15443336.190000057,2.093727347902973,21548404.620000005,2.945803051614379,
v2_vs_v1,abs,2,731495087.84,753043492.46,21548404.620000005,2.945803051614379,scenario_summary,scientific_web_summary.portfolio_summary,storm,all,,,,rp100_eur,eur,,737600156.27,731495087.84,753043492.46,-6105068.429999948,-0.8276934838073944,15443336.190000057,2.093727347902973,21548404.620000005,2.945803051614379,
v2_vs_v1,abs,3,750274803.12,739757592.69,-10517210.429999948,-1.4017811055715024,portfolio,portfolio_results,storm_cmcc,all,,,,pml_100_eur,eur,,749784421.46,750274803.12,739757592.69,490381.6599999666,0.06540302065026671,-10026828.76999998,-1.3372948921071839,-10517210.429999948,-1.4017811055715024,
v2_vs_v1,abs,4,750274803.12,739757592.69,-10517210.429999948,-1.4017811055715024,scenario_summary,scientific_web_summary.portfolio_summary,storm_cmcc,all,,,,rp100_eur,eur,,749784421.46,750274803.12,739757592.69,490381.6599999666,0.06540302065026671,-10026828.76999998,-1.3372948921071839,-10517210.429999948,-1.4017811055715024,
v2_vs_v1,abs,5,565742877.63,575978291.51,10235413.879999995,1.8091988931222622,portfolio,portfolio_results,storm,all,,,,pml_50_eur,eur,,570329120.3,565742877.63,575978291.51,-4586242.669999957,-0.8041396637063769,5649171.210000038,0.9905107435209526,10235413.879999995,1.8091988931222622,
v2_vs_v1,abs,6,565742877.63,575978291.51,10235413.879999995,1.8091988931222622,scenario_summary,scientific_web_summary.portfolio_summary,storm,all,,,,rp50_eur,eur,,570329120.3,565742877.63,575978291.51,-4586242.669999957,-0.8041396637063769,5649171.210000038,0.9905107435209526,10235413.879999995,1.8091988931222622,
v2_vs_v1,abs,7,555113332.95,564393425.09,9280092.139999986,1.6717472972020757,portfolio,portfolio_results,storm,all,,,,percentile_99_loss_eur,eur,,558178669.74,555113332.95,564393425.09,-3065336.789999962,-0.5491676690955958,6214755.350000024,1.1133989324412668,9280092.139999986,1.6717472972020757,
v2_vs_v1,abs,8,519902864.39,528264550.28,8361685.889999986,1.6083169497076573,portfolio_component,portfolio_results.components_direct_percentile_99_loss_eur,storm_cmcc,all,,,wind,p99_component_loss_eur,eur,,519902864.4,519902864.39,528264550.28,-0.009999990463256836,-1.9234343851514343e-09,8361685.879999995,1.608316947753288,8361685.889999986,1.6083169497076573,
v2_vs_v1,abs,9,504129586.87,511295796.31,7166209.439999998,1.4215014604663443,portfolio_component,portfolio_results.components_direct_percentile_99_loss_eur,storm,all,,,wind,p99_component_loss_eur,eur,,506571246.82,504129586.87,511295796.31,-2441659.949999988,-0.48199734298531616,4724549.49000001,0.9326525182110829,7166209.439999998,1.4215014604663443,
v2_vs_v1,abs,10,62355358.41,55368689.57,-6986668.839999996,-11.204600563853926,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,direct_damage_eur,eur,Eau AEP,52145075.81,62355358.41,55368689.57,10210282.599999994,19.58053074311945,3223613.759999998,6.182009921216371,-6986668.839999996,-11.204600563853926,
v2_vs_v1,abs,11,835188499.75,841700737.69,6512237.940000057,0.7797327120703157,portfolio,portfolio_results,storm,all,,,,pml_200_eur,eur,,838761470.72,835188499.75,841700737.69,-3572970.9700000286,-0.42598177130537,2939266.9700000286,0.3504294215466212,6512237.940000057,0.7797327120703157,
v2_vs_v1,abs,12,1055129180.27,1060894239.61,5765059.340000033,0.5463842198473552,portfolio,portfolio_results,storm_cmcc,all,,,,pml_1000_eur,eur,,1055129180.25,1055129180.27,1060894239.61,0.019999980926513672,1.8955006932681855e-09,5765059.360000014,0.5463842217532126,5765059.340000033,0.5463842198473552,
v2_vs_v1,abs,13,1055129180.27,1060894239.61,5765059.340000033,0.5463842198473552,scenario_summary,scientific_web_summary.portfolio_summary,storm_cmcc,all,,,,rp1000_eur,eur,,1055129180.25,1055129180.27,1060894239.61,0.019999980926513672,1.8955006932681855e-09,5765059.360000014,0.5463842217532126,5765059.340000033,0.5463842198473552,
v2_vs_v1,abs,14,474398869.2,468862680.21,-5536188.99000001,-1.1669903428176236,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,damage_eur,eur,Eau AEP,468597975.72,474398869.2,468862680.21,5800893.4799999595,1.2379254244722027,264704.48999994993,0.05648861149970439,-5536188.99000001,-1.1669903428176236,
v2_vs_v1,abs,15,474398869.2,468862680.21,-5536188.99000001,-1.1669903428176236,network_damage,scientific_graph_inputs.state_damage_tables,storm,rp1000,,eau_aep,,total_damage_eur,eur,Eau AEP,468597975.72,474398869.2,468862680.21,5800893.4799999595,1.2379254244722027,264704.48999994993,0.05648861149970439,-5536188.99000001,-1.1669903428176236,
v2_vs_v1,abs,16,1061334652.09,1055918735.23,-5415916.860000014,-0.510293039931834,portfolio,portfolio_results,storm,all,,,,pml_1000_eur,eur,,1061334652.14,1061334652.09,1055918735.23,-0.04999995231628418,-4.7110449296522844e-09,-5415916.909999967,-0.5102930446188387,-5415916.860000014,-0.510293039931834,
v2_vs_v1,abs,17,1061334652.09,1055918735.23,-5415916.860000014,-0.510293039931834,scenario_summary,scientific_web_summary.portfolio_summary,storm,all,,,,rp1000_eur,eur,,1061334652.14,1061334652.09,1055918735.23,-0.04999995231628418,-4.7110449296522844e-09,-5415916.909999967,-0.5102930446188387,-5415916.860000014,-0.510293039931834,
v2_vs_v1,abs,18,51594119.24,46303360.51,-5290758.730000004,-10.254577087340165,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_aep,,direct_damage_eur,eur,Eau AEP,48917831.17,51594119.24,46303360.51,2676288.0700000003,5.470986766971174,-2614470.660000004,-5.3446168758262305,-5290758.730000004,-10.254577087340165,
v2_vs_v1,abs,19,62818652.21,58155179.56,-4663472.6499999985,-7.423706949983922,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp1000,,eau_aep,,direct_damage_eur,eur,Eau AEP,53952154.68,62818652.21,58155179.56,8866497.530000001,16.43400079679635,4203024.880000003,7.790281787500248,-4663472.6499999985,-7.423706949983922,
v2_vs_v1,abs,20,404732214.09,400279985.99,-4452228.099999964,-1.1000429283867001,scenario_component_damage,scientific_graph_inputs.state_damage_tables.damage_components_eur,storm,rp1000,,eau_aep,wind,damage_component_eur,eur,Eau AEP,411420916.67,404732214.09,400279985.99,-6688702.580000043,-1.625756569242453,-11140930.680000007,-2.707915477456419,-4452228.099999964,-1.1000429283867001,
v2_vs_v1,abs,21,273397665.96,269034803.98,-4362861.9799999595,-1.5957934259169124,network_damage,scientific_graph_inputs.state_damage_tables,storm_cmcc,rp100,,eau_aep,,damage_eur,eur,Eau AEP,267828018.75,273397665.96,269034803.98,5569647.209999979,2.0795610690750324,1206785.230000019,0.4505821443298934,-4362861.9799999595,-1.5957934259169124,
