sample_key,sample_label,provider,row_type,bucket,selection_method,selection_score_kind,sample_size,population_track_count,selected_track_count,seed,score,sample_weight_min,sample_weight_max,sample_weight_mean,sample_weight_sum,frequency_annual_sum,selected_count,selected_share_pct
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_011_020,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,10.0,0.0010000000000000002,10,0.2
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_021_050,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,30.0,0.0029999999999999988,30,0.6
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_051_100,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,50.0,0.005,50,1.0
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_1001_2000,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,1000.0000004799916,0.09999999999999967,884,17.68
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_101_200,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,100.0,0.009999999999999995,100,2.0
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_2001_5000,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,2999.999999039974,0.3000000000000005,1056,21.12
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_201_500,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,300.0,0.029999999999999874,300,6.0
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_5001_10000,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,4999.999999680026,0.499999999999992,931,18.62
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_501_1000,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,500.0,0.050000000000000405,500,10.0
sample_v1,Sample V1 5000 tracks,storm_cmcc,stratum,rank_gt_10000,seeded_stratified_damage_with_physical_balancing,,5000,22262,5000,258003,0.895711941050485,,,,12261.99999551971,1.2262000000000133,1129,22.58
