category,scope,hazard,scenario,service,class_key,component,metric,unit,label,full_value,sample_v1_value,sample_v2_value,delta_abs,delta_pct,v2_delta_abs,v2_delta_pct,v2_vs_v1_delta_abs,v2_vs_v1_delta_pct,missing_in
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,blocking_ouvrage_eur,eur,Eau EU,24616646.28,49012414.88,48963300.56,24395768.6,99.10273041466475,24346654.28,98.9032137159181,-49114.3200000003,-0.10020791695379588,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,damage_eur,eur,Eau EU,27939168.21,53187321.39,52706116.53,25248153.18,90.36830656598849,24766948.32,88.645975906811,-481204.8599999994,-0.9047360299864113,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,direct_damage_eur,eur,Eau EU,3322521.93,4174906.51,3742815.98,852384.5799999996,25.654746543689466,420294.0499999998,12.649850290077689,-432090.5299999998,-10.349705531489848,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,dysfunction_eur,eur,Eau EU,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,exposure_eur,eur,Eau EU,784628997.21,784628997.21,784628997.21,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,indirect_damage_eur,eur,Eau EU,24616646.28,49012414.88,48963300.56,24395768.6,99.10273041466475,24346654.28,98.9032137159181,-49114.3200000003,-0.10020791695379588,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,eau_eu,,total_damage_eur,eur,Eau EU,27939168.21,53187321.39,52706116.53,25248153.18,90.36830656598849,24766948.32,88.645975906811,-481204.8599999994,-0.9047360299864113,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,blocking_ouvrage_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,damage_eur,eur,Elec BT aerien,12542701.36,11077147.95,11508867.11,-1465553.4100000001,-11.684511716700877,-1033834.25,-8.242516666282167,431719.16000000015,3.8973855179031007,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,direct_damage_eur,eur,Elec BT aerien,12542701.36,11077147.95,11508867.11,-1465553.4100000001,-11.684511716700877,-1033834.25,-8.242516666282167,431719.16000000015,3.8973855179031007,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,dysfunction_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,exposure_eur,eur,Elec BT aerien,520332523.27,520332523.27,520332523.27,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,indirect_damage_eur,eur,Elec BT aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_aerien,,total_damage_eur,eur,Elec BT aerien,12542701.36,11077147.95,11508867.11,-1465553.4100000001,-11.684511716700877,-1033834.25,-8.242516666282167,431719.16000000015,3.8973855179031007,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,blocking_ouvrage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,direct_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,dysfunction_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,exposure_eur,eur,Elec BT souterrain,1693329219.48,1693329219.48,1693329219.48,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,indirect_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_bt_souterrain,,total_damage_eur,eur,Elec BT souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,blocking_ouvrage_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,damage_eur,eur,Elec HTA aerien,358918.73,311010.75,331805.17,-47907.97999999998,-13.347862899213977,-27113.559999999998,-7.554233795489024,20794.419999999984,6.686077571273656,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,direct_damage_eur,eur,Elec HTA aerien,358918.73,311010.75,331805.17,-47907.97999999998,-13.347862899213977,-27113.559999999998,-7.554233795489024,20794.419999999984,6.686077571273656,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,dysfunction_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,exposure_eur,eur,Elec HTA aerien,131071042.1,131071042.1,131071042.1,0.0,0.0,0.0,0.0,0.0,0.0,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,indirect_damage_eur,eur,Elec HTA aerien,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_aerien,,total_damage_eur,eur,Elec HTA aerien,358918.73,311010.75,331805.17,-47907.97999999998,-13.347862899213977,-27113.559999999998,-7.554233795489024,20794.419999999984,6.686077571273656,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,blocking_ouvrage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,direct_damage_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,dysfunction_eur,eur,Elec HTA souterrain,0.0,0.0,0.0,0.0,,0.0,,0.0,,
network_damage,scientific_graph_inputs.state_damage_tables,storm,rp10,,elec_hta_souterrain,,exposure_eur,eur,Elec HTA souterrain,3517855026.32,3517855026.32,3517855026.32,0.0,0.0,0.0,0.0,0.0,0.0,
