target_rp,provider_key,provider_name,track_instance_id,year,track_id,rank,stratum,loss_eur,selection_score,selection_score_kind,sample_weight,frequency_annual,return_period_years_approx,max_wind_mps,category,min_distance_km,closest_lat,closest_lon,quadrant
10,storm,STORM,storm|5923|5_5923_5,5923,5_5923_5,989,rank_501_1000,0.0,48.71539069196898,intensity_distance_weighted_mps,7.35294118,0.0007352941176470588,10.00000000000002,56.13636363636364,3,58.544835253388314,16.7,-61.39999999999998,NE
50,storm,STORM,storm|9694|9_9694_8,9694,9_9694_8,191,rank_101_200,0.0,63.183268834019536,intensity_distance_weighted_mps,5.88235294,0.0005882352941176471,50.000000000000014,69.54545454545456,4,47.598512925083384,16.5,-61.69999999999999,NW
100,storm,STORM,storm|8554|8_8554_2,8554,8_8554_2,96,rank_051_100,0.0,66.99480485742637,intensity_distance_weighted_mps,5.0,0.0005,99.99999999999996,74.88636363636365,5,51.48160684479339,15.9,-61.80000000000001,SW
1000,storm,STORM,storm|9852|9_9852_4,9852,9_9852_4,10,rank_001_010,0.0,76.22885858009727,intensity_distance_weighted_mps,5.0,0.0005,1000.0,84.43181818181819,5,49.20586117283322,16.5,-61.10000000000002,NE
10,storm_cmcc,STORM_CMCC,storm_cmcc|9838|9_9838_7,9838,9_9838_7,997,rank_501_1000,0.0,47.64769543213356,intensity_distance_weighted_mps,7.69230769,0.0007692307692307692,9.999999999999982,62.045454545454554,4,82.45514516753867,15.6,-61.89999999999998,SW
50,storm_cmcc,STORM_CMCC,storm_cmcc|453|0_453_8,453,0_453_8,196,rank_101_200,0.0,65.38118224448468,intensity_distance_weighted_mps,5.88235294,0.0005882352941176471,50.00000000000003,75.3409090909091,5,58.544835253388314,16.7,-61.39999999999998,NE
100,storm_cmcc,STORM_CMCC,storm_cmcc|3363|3_3363_11,3363,3_3363_11,100,rank_051_100,0.0,70.25788091151514,intensity_distance_weighted_mps,6.25,0.000625,100.0,70.90909090909092,5,14.441232677570758,16.1,-61.30000000000001,SE
1000,storm_cmcc,STORM_CMCC,storm_cmcc|4425|4_4425_11,4425,4_4425_11,8,rank_001_010,0.0,79.4462735139694,intensity_distance_weighted_mps,5.0,0.0005,1000.0,80.90909090909092,5,20.353989753705022,16.2,-61.60000000000002,NW
