provider_key,provider_name,track_instance_id,year,track_id,rank,stratum,loss_eur,selection_score,selection_score_kind,sample_weight,frequency_annual,return_period_years_approx,max_wind_mps,category,min_distance_km,closest_lat,closest_lon,quadrant
storm,STORM,storm|3955|3_3955_11,3955,3_3955_11,2,rank_001_010,0.0,81.88776440696626,intensity_distance_weighted_mps,2.5,0.00025,4000.0,86.70454545454545,5,36.37979138977118,16.0,-61.69999999999999,SW
storm,STORM,storm|6047|6_6047_4,6047,6_6047_4,5,rank_001_010,0.0,80.22734642773034,intensity_distance_weighted_mps,2.5,0.00025,2000.0,81.70454545454547,5,20.353989753705022,16.2,-61.60000000000002,NW
storm,STORM,storm|9121|9_9121_1,9121,9_9121_1,7,rank_001_010,0.0,78.6876743659092,intensity_distance_weighted_mps,2.5,0.00025,1333.3333333333333,80.90909090909092,5,25.20303862703192,16.4,-61.39999999999998,NE
storm,STORM,storm|9852|9_9852_4,9852,9_9852_4,10,rank_001_010,0.0,76.22885858009727,intensity_distance_weighted_mps,2.5,0.00025,1000.0,84.43181818181819,5,49.20586117283322,16.5,-61.10000000000002,NE
storm,STORM,storm|7423|7_7423_8,7423,7_7423_8,11,rank_011_020,0.0,75.98723632445667,intensity_distance_weighted_mps,2.5,0.00025,800.0,77.38636363636364,5,20.353989753705022,16.2,-61.60000000000002,NW
storm,STORM,storm|233|0_233_8,233,0_233_8,15,rank_011_020,0.0,75.41435212549183,intensity_distance_weighted_mps,2.5,0.00025,666.6666666666666,80.22727272727273,5,37.89383898774167,15.9,-61.19999999999999,SE
storm,STORM,storm|37|0_37_5,37,0_37_5,18,rank_011_020,0.0,75.22562282959674,intensity_distance_weighted_mps,2.5,0.00025,571.4285714285714,75.45454545454547,5,8.274708844222385,16.1,-61.39999999999998,SE
storm,STORM,storm|9701|9_9701_4,9701,9_9701_4,20,rank_011_020,0.0,74.82624605113996,intensity_distance_weighted_mps,2.5,0.00025,500.0,76.36363636363637,5,21.500885690759674,16.0,-61.5,SW
storm,STORM,storm|5407|5_5407_5,5407,5_5407_5,22,rank_021_050,0.0,74.56918841706036,intensity_distance_weighted_mps,3.0,0.0003,434.7826086956522,76.13636363636364,5,21.745546605949606,16.1,-61.60000000000002,SW
storm,STORM,storm|1461|1_1461_10,1461,1_1461_10,23,rank_021_050,0.0,74.55571825317045,intensity_distance_weighted_mps,3.0,0.0003,384.61538461538464,75.79545454545456,5,19.342626122509245,16.0,-61.39999999999998,SE
storm,STORM,storm|2064|2_2064_1,2064,2_2064_1,24,rank_021_050,0.0,74.37135440340107,intensity_distance_weighted_mps,3.0,0.0003,344.82758620689657,77.72727272727273,5,31.86354595969182,15.9,-61.5,SW
storm,STORM,storm|3879|3_3879_1,3879,3_3879_1,32,rank_021_050,0.0,72.95979081665709,intensity_distance_weighted_mps,3.0,0.0003,312.5,73.1818181818182,5,8.274708844222385,16.1,-61.39999999999998,SE
storm,STORM,storm|9896|9_9896_3,9896,9_9896_3,35,rank_021_050,0.0,72.70886967447842,intensity_distance_weighted_mps,3.0,0.0003,285.7142857142857,73.63636363636364,5,16.9415486769099,16.3,-61.5,NW
storm,STORM,storm|12|0_12_0,12,0_12_0,36,rank_021_050,0.0,72.41421349804841,intensity_distance_weighted_mps,3.0,0.0003,263.15789473684214,75.68181818181819,5,31.86354595969182,15.9,-61.5,SW
storm,STORM,storm|563|0_563_2,563,0_563_2,40,rank_021_050,0.0,72.07700006245321,intensity_distance_weighted_mps,3.0,0.0003,243.90243902439028,76.25,5,36.092510952515966,16.3,-61.10000000000002,NE
storm,STORM,storm|6281|6_6281_0,6281,6_6281_0,41,rank_021_050,0.0,71.56886108226561,intensity_distance_weighted_mps,3.0,0.0003,227.2727272727273,76.13636363636364,5,37.89383898774167,15.9,-61.19999999999999,SE
storm,STORM,storm|2433|2_2433_4,2433,2_2433_4,44,rank_021_050,0.0,71.30120248626885,intensity_distance_weighted_mps,3.0,0.0003,212.76595744680853,71.93181818181819,5,14.106693156686516,16.3,-61.39999999999998,NE
storm,STORM,storm|5045|5_5045_0,5045,5_5045_0,45,rank_021_050,0.0,70.81122403316931,intensity_distance_weighted_mps,3.0,0.0003,200.00000000000003,74.31818181818183,5,33.381471519362705,16.2,-61.10000000000002,NE
