provider_key,provider_name,track_instance_id,year,track_id,rank,stratum,loss_eur,selection_score,selection_score_kind,sample_weight,frequency_annual,return_period_years_approx,max_wind_mps,category,min_distance_km,closest_lat,closest_lon,quadrant
storm,STORM,storm|3955|3_3955_11,3955,3_3955_11,2,rank_001_010,0.0,81.88776440696626,intensity_distance_weighted_mps,2.5,0.00025,4000.0,86.70454545454545,5,36.37979138977118,16.0,-61.69999999999999,SW
storm,STORM,storm|6047|6_6047_4,6047,6_6047_4,5,rank_001_010,0.0,80.22734642773034,intensity_distance_weighted_mps,2.5,0.00025,2000.0,81.70454545454547,5,20.353989753705022,16.2,-61.60000000000002,NW
storm,STORM,storm|9121|9_9121_1,9121,9_9121_1,7,rank_001_010,0.0,78.6876743659092,intensity_distance_weighted_mps,2.5,0.00025,1333.3333333333333,80.90909090909092,5,25.20303862703192,16.4,-61.39999999999998,NE
storm,STORM,storm|9852|9_9852_4,9852,9_9852_4,10,rank_001_010,0.0,76.22885858009727,intensity_distance_weighted_mps,2.5,0.00025,1000.0,84.43181818181819,5,49.20586117283322,16.5,-61.10000000000002,NE
storm_cmcc,STORM_CMCC,storm_cmcc|6933|6_6933_4,6933,6_6933_4,3,rank_001_010,0.0,81.76739321414311,intensity_distance_weighted_mps,2.5,0.00025,4000.0,83.63636363636364,5,22.677877083396297,16.0,-61.30000000000001,SE
storm_cmcc,STORM_CMCC,storm_cmcc|4382|4_4382_1,4382,4_4382_1,4,rank_001_010,0.0,81.67479860950878,intensity_distance_weighted_mps,2.5,0.00025,2000.0,83.86363636363637,5,24.555795528057462,16.3,-61.60000000000002,NW
storm_cmcc,STORM_CMCC,storm_cmcc|3396|3_3396_7,3396,3_3396_7,5,rank_001_010,0.0,80.2370852209038,intensity_distance_weighted_mps,2.5,0.00025,1333.3333333333333,80.79545454545455,5,12.513086963196397,16.1,-61.5,SW
storm_cmcc,STORM_CMCC,storm_cmcc|4425|4_4425_11,4425,4_4425_11,8,rank_001_010,0.0,79.4462735139694,intensity_distance_weighted_mps,2.5,0.00025,1000.0,80.90909090909092,5,20.353989753705022,16.2,-61.60000000000002,NW
