target_rp,provider_key,provider_name,track_instance_id,year,track_id,rank,stratum,loss_eur,selection_score,selection_score_kind,sample_weight,frequency_annual,return_period_years_approx,max_wind_mps,category,min_distance_km,closest_lat,closest_lon,quadrant
10,storm,STORM,storm|2527|2_2527_2,2527,2_2527_2,1000,rank_501_1000,0.0,48.579834636766606,intensity_distance_weighted_mps,1.16009281,0.0001160092807424594,10.000000000000128,58.29545454545455,4,67.08084135222408,15.7,-61.80000000000001,SW
50,storm,STORM,storm|6006|6_6006_5,6006,6_6006_5,200,rank_101_200,0.0,62.939696161909104,intensity_distance_weighted_mps,1.0,0.0001,50.00000000000016,66.13636363636364,4,33.80474537884485,16.4,-61.19999999999999,NE
100,storm,STORM,storm|205|0_205_9,205,0_205_9,100,rank_051_100,0.0,66.87420729319312,intensity_distance_weighted_mps,1.0,0.0001,100.00000000000006,67.72727272727273,4,16.9415486769099,16.3,-61.5,NW
1000,storm,STORM,storm|9852|9_9852_4,9852,9_9852_4,10,rank_001_010,0.0,76.22885858009727,intensity_distance_weighted_mps,1.0,0.0001,999.9999999999998,84.43181818181819,5,49.20586117283322,16.5,-61.10000000000002,NE
10,storm_cmcc,STORM_CMCC,storm_cmcc|6377|6_6377_7,6377,6_6377_7,999,rank_501_1000,0.0,47.61391969267996,intensity_distance_weighted_mps,1.22249389,0.00012224938875305625,9.999999999999796,66.93181818181819,4,95.54417864202313,15.4,-61.80000000000001,SW
50,storm_cmcc,STORM_CMCC,storm_cmcc|6325|6_6325_10,6325,6_6325_10,200,rank_101_200,0.0,65.2653505619205,intensity_distance_weighted_mps,1.0,0.0001,50.00000000000016,67.95454545454545,4,30.448160511479074,15.9,-61.39999999999998,SE
100,storm_cmcc,STORM_CMCC,storm_cmcc|3363|3_3363_11,3363,3_3363_11,100,rank_051_100,0.0,70.25788091151514,intensity_distance_weighted_mps,1.0,0.0001,100.00000000000006,70.90909090909092,5,14.441232677570758,16.1,-61.30000000000001,SE
1000,storm_cmcc,STORM_CMCC,storm_cmcc|5542|5_5542_13,5542,5_5542_13,10,rank_001_010,0.0,79.11501957825593,intensity_distance_weighted_mps,1.0,0.0001,999.9999999999998,85.22727272727273,5,41.69293374799521,16.4,-61.10000000000002,NE
